DOI,Year,Keywords,MeSH Terms,Major Topics,Subheadings
10.1038/ismej.2014.11,2014,N/A,"Ammonia; Archaea; Ecotype; Genes, Archaeal; Nitrification; Oxidation-Reduction; Oxidoreductases; Seawater; Transcription, Genetic",Ecotype; Nitrification,Metabolism; Classification; Genetics; Metabolism; Genetics; Chemistry; Microbiology
10.1016/j.tim.2012.06.003,2012,N/A,Agriculture; Environment; Gram-Negative Bacteria; Health; Humans; Quorum Sensing,N/A,Drug Effects; Physiology; Drug Effects; Physiology
10.7717/peerj.15959,2023,Collembola; Mesostigmata; Oribatida; Precipitation; Trophic guild; Windstorm,Animals; Forests; Arthropods; Soil; Mites; Plants,Arthropods; Mites,N/A
10.1128/mSphere.00043-19,2019,16S rRNA gene; bacteria; community succession; metabarcoding; saltwater aquarium; water chemistry,"Ammonium Compounds; Archaea; Bacteria; Dna Barcoding, Taxonomic; Dna, Archaeal; Dna, Bacterial; Ecosystem; Microbiota; Nitrates; Nitrites; Nitrogen Cycle; Phylogeny; Rna, Ribosomal, 16S; Salinity; Water",Ecosystem; Microbiota; Salinity,Analysis; Classification; Physiology; Classification; Genetics; Analysis; Analysis; Genetics; Chemistry
10.1038/ismej.2016.198,2017,N/A,"Acclimatization; Base Sequence; Dna, Bacterial; Ecosystem; Evolution, Molecular; Molecular Sequence Data; Phylogeny; Rhodobacteraceae","Evolution, Molecular; Phylogeny",Genetics; Genetics; Genetics
10.3389/fmicb.2015.00123,2015,Alphaproteobacteria; Cephalopoda; Euprymna scolopes; Roseobacter clade; genomics; symbiosis,N/A,N/A,N/A
10.1038/ismej.2013.248,2014,N/A,"Aquatic Organisms; Base Composition; Bayes Theorem; Evolution, Molecular; Genetic Drift; Genome Size; Genome, Bacterial; Oceans And Seas; Phylogeny; Roseobacter; Seawater; Selection, Genetic","Genome, Bacterial; Phylogeny",Classification; Genetics; Microbiology
10.1038/s41598-018-27509-8,2018,N/A,"Animals; Aquatic Organisms; Biodiversity; Dna Barcoding, Taxonomic; Dna, Helminth; Europe; Nematoda; Platyhelminths; Rna, Helminth; Rna, Ribosomal, 18S","Aquatic Organisms; Biodiversity; Dna Barcoding, Taxonomic; Nematoda; Platyhelminths",Classification; Genetics; Genetics; Classification; Genetics; Classification; Genetics; Genetics; Genetics
10.1002/mbo3.1320,2022,16S rRNA; anthropogenic effects; bacterial community analysis; biotic interactions; generalized linear latent variable model,"Drinking Water; Sweden; Bacteria; Fresh Water; Ecosystem; Rna, Ribosomal, 16S",Drinking Water,Genetics; Microbiology; Genetics
10.1007/s10393-022-01621-8,2022,Disease vector; disease emergence; disease risk; nonhuman primates,"Humans; Animals; Animals, Wild; Diptera; Primates; Livestock; Dna","Animals, Wild; Diptera",Genetics; Parasitology
10.1007/s10393-010-0284-3,2009,N/A,"Africa, Central; Animals; Communicable Diseases, Emerging; Geography; Host-Pathogen Interactions; Humans; Models, Biological; Primate Diseases; Primates; South America; Zoonoses",Host-Pathogen Interactions,Epidemiology; Epidemiology; Microbiology; Transmission; Epidemiology; Microbiology; Transmission; Microbiology; Epidemiology; Epidemiology; Transmission
10.1126/science.1126531,2006,N/A,"Animals; Antibodies, Viral; Ape Diseases; Cameroon; Dna, Mitochondrial; Disease Outbreaks; Disease Reservoirs; Feces; Hiv Antibodies; Hiv Infections; Hiv-1; Haplotypes; Humans; Molecular Epidemiology; Molecular Sequence Data; Pan Troglodytes; Phylogeny; Prevalence; Recombination, Genetic; Simian Acquired Immunodeficiency Syndrome; Simian Immunodeficiency Virus",Disease Outbreaks; Disease Reservoirs,Analysis; Epidemiology; Virology; Epidemiology; Genetics; Virology; Analysis; Epidemiology; Virology; Classification; Genetics; Classification; Virology; Epidemiology; Virology; Classification; Genetics; Immunology; Isolation & Purification
10.1038/s41396-019-0394-z,2019,N/A,"Bacteria; Biodegradation, Environmental; Carbon Isotopes; Lolium; Metagenomics; Microbial Consortia; Phenanthrenes; Plant Roots; Polycyclic Aromatic Hydrocarbons; Soil; Soil Microbiology; Soil Pollutants; Sphingomonadaceae",Metagenomics; Microbial Consortia,Genetics; Isolation & Purification; Metabolism; Analysis; Microbiology; Analysis; Metabolism; Analysis; Chemistry; Analysis; Genetics; Isolation & Purification; Metabolism
10.1111/j.1476-5381.1986.tb10225.x,1986,N/A,"Acetophenones; Animals; Buffers; Cytoplasmic Granules; In Vitro Techniques; Kinetics; Male; Membrane Potentials; N-Formylmethionine Leucyl-Phenylalanine; Nadh, Nadph Oxidoreductases; Nadph Oxidases; Neutrophils; Phospholipases; Phospholipases A; Phospholipases A2; Rats; Subcellular Fractions; Sulfhydryl Compounds; Superoxides",N/A,Pharmacology; Metabolism; Drug Effects; Analogs & Derivatives; Metabolism; Antagonists & Inhibitors; Drug Effects; Enzymology; Antagonists & Inhibitors; Antagonists & Inhibitors; Metabolism; Analysis; Metabolism
10.1186/s40168-020-00835-8,2020,Assemblages; Giant clams; Microbiome; Microbiotype; Symbiodiniaceae,"Animals; Anthozoa; Bacteria; Bivalvia; Coral Reefs; Dna Barcoding, Taxonomic; Dinoflagellida; Microbiota; Symbiosis; Temperature","Anthozoa; Bivalvia; Coral Reefs; Dna Barcoding, Taxonomic; Microbiota",Microbiology; Physiology; Classification; Growth & Development; Microbiology; Physiology; Classification; Growth & Development
10.1111/2041-210X.12416,2015,Hymenoptera; agri‐environment schemes; biodiversity and ecosystem services; farmland biodiversity; genome skimming; metabarcoding; metagenomics; mitogenomes; neonicotinoids; pollination,N/A,N/A,N/A
10.1038/srep16738,2015,N/A,Animals; Bison; Climate; Diet; Ecosystem; Feces; Grassland; Poaceae; Seasons,Climate,Physiology; Chemistry; Chemistry
10.1371/journal.pone.0067065,2013,N/A,Animals; Bison; Body Weight; Climate Change; Female; Herbivory; Male; United States,N/A,Growth & Development
10.1073/pnas.1118438109,2012,N/A,"Biomass; Climate Change; Droughts; Ecosystem; Forecasting; Humidity; Kansas; Models, Biological; Poaceae; Rain; Seasons; Soil; Temperature; Time Factors",Biomass; Climate Change,Growth & Development; Physiology
10.1186/s12866-024-03362-w,2024,Curing process; Endophytic bacteria; Microbial transmission; Substrate; Vanilla accession,"Endophytes; Bacteria; Soil Microbiology; Plant Roots; Rhizosphere; Vanilla; Biodiversity; Rna, Ribosomal, 16S; Phylogeny; Microbiota; Dna, Bacterial",Endophytes; Bacteria; Soil Microbiology; Plant Roots; Rhizosphere; Vanilla; Biodiversity,Classification; Genetics; Isolation & Purification; Classification; Genetics; Isolation & Purification; Microbiology; Microbiology; Genetics; Genetics; Genetics
10.1016/j.heliyon.2019.e01157,2019,Food science; Food technology,N/A,N/A,N/A
10.1007/s13197-015-2132-5,2016,Chocolate; Cocoa fermentation; GC/MS; PCR-DGGE; Temporal dominance of sensations,N/A,N/A,N/A
10.1038/s41598-023-35537-2,2023,N/A,"Phytoplankton; Iceland; Chlorophyta; Seawater; Diatoms; Haptophyta; Water; Rna, Ribosomal, 18S; Seasons",Chlorophyta; Diatoms; Haptophyta,Genetics; Genetics; Genetics; Genetics; Genetics
10.1111/j.1365-294X.2010.04932.x,2011,N/A,"Atlantic Ocean; Bacteria; Biodiversity; Cluster Analysis; Dna, Bacterial; Genes, Rrna; High-Throughput Nucleotide Sequencing; Microbial Consortia; Phylogeny; Plankton; Polymerase Chain Reaction; Proteobacteria; Rna, Ribosomal, 16S; Seawater; Sequence Analysis, Dna",Biodiversity; High-Throughput Nucleotide Sequencing,Classification; Genetics; Analysis; Genetics; Genetics; Classification; Classification; Genetics; Physiology; Microbiology
10.3390/plants13020221,2024,genetic diversity; medicinal plants; microbial communities; population structure,N/A,N/A,N/A
10.1186/s40168-020-00915-9,2020,Common garden; Evolution; Genetic variation; Mutualism; Nodule microbiome,"Genotype; Medicago Truncatula; Microbiota; Models, Biological; Rna, Ribosomal, 16S; Rhizosphere; Soil; Soil Microbiology; Symbiosis",Genotype; Microbiota; Soil,Anatomy & Histology; Genetics; Microbiology; Genetics; Genetics; Genetics
10.1007/s11103-015-0417-8,2016,Microbial communication; Microbiome; Plant root; Rhizosphere; Soil,"Agriculture; Crops, Agricultural; Microbiota; Plant Roots; Rhizosphere; Signal Transduction; Soil Microbiology",Soil Microbiology,Microbiology; Microbiology
10.3390/biology10111120,2021,Costa Rica; ITS; Pacific wet forest; biodiversity; forest communities; impact of disturbance; succession dynamics; tropical ecology,N/A,N/A,N/A
10.1038/ismej.2013.253,2014,N/A,"Brazil; Conservation Of Natural Resources; Dna Barcoding, Taxonomic; Dna, Fungal; Dna, Ribosomal; Ecosystem; Fungi; Phylogeny; Plant Roots; Soil Microbiology; Trees; Tropical Climate",Conservation Of Natural Resources; Soil Microbiology,Genetics; Genetics; Classification; Genetics; Classification; Genetics; Microbiology; Classification; Genetics; Microbiology
10.3897/mycokeys.96.102669,2023,Dark taxa; ICN; nomenclature; species description; taxonomy; type principle,N/A,N/A,N/A
10.1111/gcb.16398,2022,biodiversity; biogeography; climate change; conservation priorities; global change vulnerability; global maps; mycorrhizal fungi; pathogens; saprotrophs,Animals; Biodiversity; Ecosystem; Forests; Fungi; Humans; Mycorrhizae; Plants; Soil; Soil Microbiology,Mycorrhizae; Soil,N/A
10.1073/pnas.1812505115,2018,climate; deforestation; extractive industry; infrastructure; rights,Agriculture; Conservation Of Natural Resources; Ecosystem; Forestry; Forests; Humans,Conservation Of Natural Resources; Ecosystem; Forests,Legislation & Jurisprudence
10.1371/journal.pone.0129460,2015,N/A,Brazil; Cities; Conservation Of Natural Resources; Ecosystem; Forestry; Forests; Social Change; Social Planning,Social Planning,Methods; Methods
10.1098/rspb.2010.1713,2011,N/A,Biodiversity; Conservation Of Natural Resources; Geography,Conservation Of Natural Resources,N/A
10.1371/journal.pone.0004279,2009,N/A,"Biodiversity; Conservation Of Natural Resources; Ecology; Ecosystem; Geography; Humans; Models, Theoretical; Population; Population Density; Population Dynamics; Population Growth; Zambia",Biodiversity,Economics; Legislation & Jurisprudence
10.1073/pnas.0802471105,2008,N/A,Brazil; Conservation Of Natural Resources; Databases As Topic; Geography; Satellite Communications; Trees,Conservation Of Natural Resources; Trees,N/A
10.1371/journal.pone.0226547,2019,N/A,"Animals; Aquatic Organisms; Biodiversity; Biological Evolution; Databases, Factual; Ecosystem; Environmental Monitoring; Extinction, Biological; Germany; Invertebrates; Population Dynamics; Rivers",Biodiversity; Biological Evolution; Rivers,Classification; Cytology; Genetics; Growth & Development; Trends; Classification; Cytology; Genetics; Growth & Development; Trends
10.1371/journal.pone.0222047,2019,N/A,"Africa, Southern; Animals; Biodiversity; Crustacea; Dna Barcoding, Taxonomic; Introduced Species; Phylogeny; Reference Standards; Reproducibility Of Results",Introduced Species; Phylogeny,Classification; Genetics; Methods; Standards
10.1093/condor/duaa009,2020,agroecology; agroecología; biological control; cascada trófica; control biológico; corn; escatología molecular; maíz; molecular scatology; soja; soybeans; trophic cascade,N/A,N/A,N/A
10.1038/s41598-019-47701-8,2019,N/A,"Bacteria; Ciliophora; Dna Barcoding, Taxonomic; Environment; Microbiota; Rna, Ribosomal, 16S; Sewage",Environment; Microbiota,Isolation & Purification; Microbiology; Microbiology
10.1038/s41598-018-37629-w,2019,N/A,"Aquatic Organisms; Ciliophora; Dna, Bacterial; Dna, Ribosomal; Genetic Variation; Phylogeny; Rna, Ribosomal, 16S; Rickettsiaceae; Sequence Analysis, Dna; Symbiosis",Genetic Variation; Symbiosis,Microbiology; Microbiology; Chemistry; Genetics; Chemistry; Genetics; Genetics; Classification; Genetics; Isolation & Purification; Physiology
10.1038/s41598-022-16385-y,2022,N/A,Animals; Bivalvia; Ecosystem; Fishes; Fresh Water; Introduced Species; Perciformes; Predatory Behavior; Unionidae,Bivalvia; Perciformes; Unionidae,Genetics
10.1073/pnas.1305853111,2014,alternative states; ecosystem flips; fisheries collapse; ocean fisheries,Ecosystem; Fisheries; Marine Biology; Nonlinear Dynamics; Population Dynamics; Species Specificity,Ecosystem,Legislation & Jurisprudence; Methods; Methods; Trends
10.1002/ece3.7460,2021,Blue Catfish; at‐risk species; diet; flow rate; high‐throughput sequencing; metabarcoding,N/A,N/A,N/A
10.1371/journal.pone.0208694,2019,N/A,"Animals; Baltic States; Ecosystem; Fatty Acids; Fisheries; Seals, Earless",Ecosystem,Analysis; Classification; Genetics
10.1098/rspb.2003.2371,2003,N/A,"Adipose Tissue; Animals; Antarctic Regions; Body Composition; Diet; Dietary Fats; Ecosystem; Fatty Acids; Female; Fishes; Oceans And Seas; Predatory Behavior; Seals, Earless; Seasons",Body Composition; Ecosystem,Chemistry; Physiology; Analysis; Analysis; Physiology; Physiology
10.1007/BF00396118,1969,N/A,N/A,N/A,N/A
10.1038/s42003-023-05237-8,2023,N/A,Environmental Biomarkers; Flavobacterium; Machine Learning; Microbiota; Rivers,Environmental Biomarkers; Microbiota,Genetics
10.1093/nar/gkt1209,2014,N/A,"Archaea; Bacteria; Databases, Nucleic Acid; Eukaryota; Genes, Archaeal; Genes, Bacterial; Genes, Rrna; Internet; Rna, Ribosomal, 16S; Rna, Ribosomal, 23S; Sequence Alignment; Software; Terminology As Topic","Databases, Nucleic Acid; Genes, Rrna",Classification; Classification; Classification; Genetics; Genetics; Genetics
10.1093/nar/gkt1111,2014,N/A,"Archaea; Bacteria; Databases, Factual; Internet; Terminology As Topic","Databases, Factual; Terminology As Topic",Classification; Classification
10.1371/journal.pone.0218245,2019,N/A,Animal Nutritional Physiological Phenomena; Animals; Arthropods; Cercopithecidae; Dna; Diet; Feces; Metagenomics; Species Specificity,Diet; Metagenomics,Genetics; Classification; Physiology; Analysis
10.1007/s00572-023-01111-x,2023,FRE; Fine root endophyte; MFRE; Mycorrhiza; Phosphorus-limited soils; Soil age,Mycorrhizae; Soil; Plant Roots; Ecosystem; Water; Soil Microbiology; Fungi,Mycorrhizae,Physiology; Chemistry; Microbiology; Physiology
10.1111/nph.13024,2015,Endogone; Haplomitriopsida; Haplomitrium gibbsiae; Mucoromycotina; Treubia lacunosa; carbon dioxide; liverwort; mycorrhiza,Atmosphere; Carbon; Carbon Dioxide; Embryophyta; Fungi; Hepatophyta; Molecular Sequence Data; Nitrogen; Phosphorus; Symbiosis,N/A,Metabolism; Cytology; Genetics; Physiology; Physiology; Ultrastructure; Metabolism; Metabolism; Physiology
10.1093/aob/mcs017,2012,N/A,"Anthocerotophyta; Biological Evolution; Bryophyta; Embryophyta; Ferns; Fungi; Germ Cells, Plant; Mycorrhizae; Phylogeny; Plant Stomata; Plant Transpiration; Symbiosis",Biological Evolution; Phylogeny,Anatomy & Histology; Genetics; Growth & Development; Anatomy & Histology; Genetics; Growth & Development; Anatomy & Histology; Genetics; Growth & Development; Physiology; Anatomy & Histology; Genetics; Growth & Development; Physiology; Growth & Development; Physiology; Anatomy & Histology; Metabolism
10.1093/aob/mcw145,2016,Zea mays (maize); Bubble removal; X-ray micro-imaging; embolism repair; water refilling; xylem vessel,N/A,N/A,N/A
10.1093/aob/mcs128,2012,N/A,"Americas; Anemone; Dna, Intergenic; Dna, Ribosomal; Europe; Evolution, Molecular; Genetic Markers; Genetic Variation; Phylogeny; Tetraploidy; Translocation, Genetic",Tetraploidy,Genetics; Genetics; Genetics
10.1038/s41559-022-01838-4,2022,N/A,"Dna, Ribosomal; Ecosystem; Eukaryota; Phylogeny; Soil",Ecosystem; Eukaryota,Genetics; Genetics
10.1371/journal.pone.0278070,2022,N/A,"Animals; Diatoms; Ecosystem; Rna, Ribosomal, 16S; Rna, Ribosomal, 23S; Cyanobacteria; Bivalvia; Diet; Phytoplankton; Dna",Diatoms; Cyanobacteria; Bivalvia,Genetics; Genetics; Genetics; Genetics; Genetics
10.1007/s00442-011-1936-x,2011,N/A,Amphipoda; Animals; Aquatic Organisms; Biodiversity; Biomass; Bivalvia; Carbon Isotopes; Introduced Species; Nitrogen Isotopes; Phytoplankton; Polychaeta,Biodiversity; Biomass; Introduced Species,Growth & Development; Metabolism; Growth & Development; Metabolism; Growth & Development; Metabolism; Metabolism; Metabolism; Metabolism; Growth & Development; Metabolism
10.1073/pnas.0704103105,2008,N/A,Biodiversity; Marine Biology; Seaweed,Biodiversity,N/A
10.1186/s42523-023-00235-x,2023,Feralization; Gut microbiota; Reprogramming; Sus scrofa,N/A,N/A,N/A
10.1038/s41598-017-02995-4,2017,N/A,"Bacteroides; Dietary Fiber; Fatty Acids, Volatile; Feces; Fermentation; Gastrointestinal Microbiome; Humans; Prevotella",N/A,Physiology; Metabolism; Microbiology; Metabolism; Microbiology; Physiology; Physiology
10.1126/science.1110591,2005,N/A,"Adult; Bacteria; Bacteroidetes; Biodiversity; Colon; Dna, Ribosomal; Ecosystem; Feces; Genes, Archaeal; Genes, Bacterial; Genes, Rrna; Genetic Variation; Humans; Intestinal Mucosa; Methanobrevibacter; Middle Aged; Molecular Sequence Data; Phylogeny; Polymerase Chain Reaction; Rna, Ribosomal, 16S",Biodiversity,Classification; Genetics; Isolation & Purification; Classification; Genetics; Isolation & Purification; Microbiology; Genetics; Microbiology; Microbiology; Classification; Genetics; Isolation & Purification; Genetics
10.7717/peerj.17421,2024,Acropora pulchra; Bacterial diversity; Guam; Microbiome; Reef flat,Animals; Anthozoa; Microbiota; Seasons; Coral Reefs; Mucus; Seawater; Bacteria,Anthozoa; Microbiota; Seasons; Coral Reefs,Microbiology; Physiology; Genetics; Microbiology; Microbiology; Classification; Genetics; Isolation & Purification
10.1186/s40168-019-0776-5,2020,16S rRNA gene profiling; Climate change; Coral acclimatization; Future Oceans; Holobiont; Microbial community; Symbiodiniaceae,Acclimatization; Animals; Anthozoa; Bacteria; Coral Reefs; Dinoflagellida; Host Specificity; Hot Temperature; Indian Ocean; Microbiota; Symbiosis,Host Specificity; Microbiota; Symbiosis,Microbiology; Classification; Classification; Physiology
10.1038/s41598-017-02685-1,2017,N/A,"Animals; Anthozoa; Disease Resistance; Gene Expression Profiling; Genetic Markers; Genotype; Hydrobiology; Species Specificity; Stress, Physiological; Transcriptome; Vibrio; Vibrio Infections",Genotype,Genetics; Immunology; Genetics; Genetics; Immunology; Physiology; Immunology
10.1038/ismej.2015.229,2016,N/A,"Animals; Anthozoa; In Situ Hybridization, Fluorescence; Larva; Nitrogen; Nitrogen Fixation; Nitrogen-Fixing Bacteria",N/A,Microbiology; Metabolism; Metabolism
10.1371/journal.pone.0208493,2018,N/A,"Altitude; Biodiversity; Dna, Fungal; Fungi; High-Throughput Nucleotide Sequencing; Phylogeny; Picea; Plant Roots; Sequence Analysis, Dna; Soil Microbiology",N/A,Genetics; Classification; Genetics; Isolation & Purification; Methods; Growth & Development; Microbiology; Growth & Development; Microbiology; Methods
10.3389/fmicb.2021.675352,2021,bacterial 16S rRNA; fungal ITS; metabarcoding; metagenomics; microbiome; soybean; spatial yield variation,N/A,N/A,N/A
10.1111/j.1364-3703.2012.00804.x,2012,N/A,Bacteria; Plant Pathology; Plants,N/A,Pathogenicity; Microbiology
10.1016/j.ijmm.2011.09.005,2011,N/A,"Bacteria; Dna, Bacterial; Foodborne Diseases; Gastroenteritis; Genotype; Humans; Minisatellite Repeats; Molecular Epidemiology; Molecular Typing; Norway",N/A,Classification; Genetics; Isolation & Purification; Genetics; Epidemiology; Microbiology; Epidemiology; Microbiology; Methods; Methods; Epidemiology
10.1021/acs.est.3c03905,2023,diet; farmland birds; pesticide exposure; spatial ecology; treated seeds,N/A,N/A,N/A
10.1371/journal.pone.0200438,2018,N/A,"Animals; Biodiversity; Birds; Crops, Agricultural; Ecosystem; Germany; Seasons","Crops, Agricultural; Ecosystem",Physiology
10.1073/pnas.1313490111,2014,agricultural development; crop diversity; global analysis; plant genetic resources,"Crops, Agricultural; Diet; Food Supply; History, 20Th Century; History, 21St Century; Humans; Linear Models",N/A,Economics; History; History; Trends; Methods; Statistics & Numerical Data
10.3390/ijerph17207642,2020,DNA extraction; HAB monitoring; coastal monitoring; harmful algae; metabarcoding analysis; microscope; nutrient assay; phytoplankton; pigment assay; toxin assay,Aquaculture; Chile; Ecosystem; Fisheries; Harmful Algal Bloom; Pilot Projects,Aquaculture; Ecosystem; Fisheries; Harmful Algal Bloom,N/A
10.1038/s41598-024-63062-3,2024,N/A,Animals; Chiroptera; Seasons; Southeastern United States; Forests; Diet; Predatory Behavior,Chiroptera; Seasons; Forests; Diet,Physiology; Physiology
10.7717/peerj.7169,2019,Bat ensemble; Faecal DNA; Foraging guild; Moth pest; Pine forest,N/A,N/A,N/A
10.1371/journal.pone.0109488,2014,N/A,Animals; Chiroptera; Female; Forests; Male; Moths; Pinus; Population Density; Predatory Behavior; Reproduction; Sex Attractants; Spatio-Temporal Analysis,Forests; Pinus,Physiology; Drug Effects; Physiology; Drug Effects; Pharmacology
10.1371/journal.pone.0043839,2012,N/A,"Animal Feed; Animals; Chiroptera; Ecosystem; Feces; Feeding Behavior; Genetic Markers; Moths; Pest Control, Biological; Polymerase Chain Reaction; Population Dynamics; Species Specificity",Chiroptera; Feeding Behavior; Moths,Analysis; Chemistry; Genetics; Genetics; Methods
10.1371/journal.pone.0021441,2011,N/A,Africa; Animals; Base Sequence; Chiroptera; Diet; Genetic Variation; High-Throughput Nucleotide Sequencing; Insecta; Predatory Behavior; Tail,Diet,Genetics; Methods; Genetics
10.1093/nar/gky1022,2019,N/A,"Computational Biology; Dna Barcoding, Taxonomic; Databases, Nucleic Acid; Fungi; Genome, Fungal; Genomics; Software; Web Browser","Databases, Nucleic Acid; Genome, Fungal; Genomics",Methods; Methods; Classification; Genetics; Methods
10.1186/s40168-017-0259-5,2017,Biogeography; Kingdom Fungi; Niche modelling; Phylogenetic lineages; Random forest,"Base Sequence; Dna, Fungal; Dna, Intergenic; Ecosystem; Fungi; High-Throughput Nucleotide Sequencing; Rna, Ribosomal, 18S; Rna, Ribosomal, 28S; Sequence Analysis, Dna; Soil Microbiology",Soil Microbiology,Genetics; Genetics; Classification; Genetics; Isolation & Purification; Genetics; Genetics
10.1098/rspb.2015.2243,2015,454 pyrosequencing; Dikarya; chytrids; sediment communities,"Dna, Fungal; Europe; Fungi; Genetic Variation; Geologic Sediments; Microbiota; Microscopy, Fluorescence; Molecular Sequence Data; Phylogeny; Rna, Fungal; Seawater; Sequence Analysis, Dna",Genetic Variation; Microbiota,Genetics; Classification; Genetics; Microbiology; Genetics; Microbiology
10.1128/AEM.01156-07,2008,N/A,"Biodiversity; Dna, Algal; Dna, Fungal; Dna, Protozoan; Dna, Ribosomal; Fresh Water; In Situ Hybridization, Fluorescence; Molecular Sequence Data; Phylogeny; Phytoplankton; Rna, Ribosomal, 18S; Sequence Analysis, Dna; Sequence Homology, Nucleic Acid",Biodiversity,Chemistry; Genetics; Chemistry; Genetics; Chemistry; Genetics; Chemistry; Genetics; Parasitology; Methods; Parasitology; Genetics
10.3390/biology10111092,2021,DNA-based methods; Mediterranean transitional waters; benthic macroinvertebrates; biomonitoring programs; ecological status assessment; incomplete DNA barcode reference libraries,N/A,N/A,N/A
10.3390/microorganisms11010169,2023,Aureococcus anophagefferens; Gyrodinium helveticum; eukaryotic plankton communities; metagenomics; nucleocytoplasmic large DNA viruses; sub-arctic sea,N/A,N/A,N/A
10.3897/mycokeys.53.34761,2019,SMRT sequencing; high-throughput sequencing; lichenised fungi; long amplicon analysis (LAA),N/A,N/A,N/A
10.1128/AEM.02639-15,2016,N/A,"Basidiomycota; Coffea; Molecular Sequence Data; Phylogeny; Plant Diseases; Plant Leaves; Sequence Analysis, Dna",N/A,Genetics; Isolation & Purification; Physiology; Microbiology; Microbiology; Microbiology
10.1128/AEM.00052-20,2020,coffee; field management; functional diversity; fungi; guild; metabarcoding; nitrogen; organic agriculture; shade; soil ecology,Coffea; Costa Rica; Fungi; Mycobiome; Organic Agriculture; Plant Roots; Rhizosphere,Mycobiome; Organic Agriculture; Rhizosphere,Microbiology; Classification; Isolation & Purification; Physiology; Microbiology
10.7759/cureus.65002,2024,fruit allergy; fruit latex syndrome; ige (immunoglobulin e); latex allergy; oral allergy syndrome,N/A,N/A,N/A
10.1038/s41597-020-0567-7,2020,N/A,"Dna Barcoding, Taxonomic; Fungi; High-Throughput Nucleotide Sequencing; Mycobiome; Plants; Soil Microbiology","Dna Barcoding, Taxonomic; High-Throughput Nucleotide Sequencing; Mycobiome; Soil Microbiology",Classification; Microbiology
10.1371/journal.pone.0184223,2017,N/A,Alternaria; Ascomycota; Biomass; Carbon; Chaetomium; China; Cryptococcus; Emericella; Gibberella; Nitrogen; Potassium; Soil; Soil Microbiology; Triticum,Soil Microbiology; Triticum,Isolation & Purification; Isolation & Purification; Isolation & Purification; Isolation & Purification; Isolation & Purification; Isolation & Purification; Analysis; Analysis; Classification
10.1371/journal.pone.0092733,2014,N/A,Carbon; Fertilizers; Soil; Soil Microbiology; Time Factors,Fertilizers; Soil; Soil Microbiology,Chemistry; Metabolism
10.1371/journal.pone.0221770,2019,N/A,Animals; Bacteria; Databases As Topic; Diet; Gastrointestinal Microbiome; Metabolic Networks And Pathways; Mexico; Phoca; Phylogeny; Predatory Behavior,Diet; Gastrointestinal Microbiome,Classification; Microbiology
10.1038/srep10189,2015,N/A,Animals; Bacteria; Eye; Feces; Gastrointestinal Microbiome; Genetic Variation; Male; Microbiota; Mouth; Organ Specificity; Phascolarctidae; Phylogeny; Principal Component Analysis; Rectum,Genetic Variation; Organ Specificity,Genetics; Microbiology; Microbiology; Genetics; Microbiology; Microbiology; Microbiology
10.1371/journal.pone.0244724,2021,N/A,"Animal Feed; Animals; Australia; Cecum; Chickens; Croatia; Dna Barcoding, Taxonomic; Gastrointestinal Microbiome; Germany; Hungary; Malaysia; Rna, Ribosomal, 16S; Slovenia; United States",N/A,Microbiology; Microbiology; Genetics; Genetics
10.1186/s13071-019-3750-y,2019,28S; ABGD; Barcoding; Biodiversity; Crenobiosis; Phylogeny; Species delimitation; Springs; cox1,"Animals; Austria; Bayes Theorem; Biodiversity; Cyclooxygenase 1; Dna; Fresh Water; Germany; Likelihood Functions; Mites; Natural Springs; Phylogeny; Polymerase Chain Reaction; Rna, Ribosomal, 28S; Sequence Alignment; Switzerland",Biodiversity,Genetics; Chemistry; Isolation & Purification; Parasitology; Anatomy & Histology; Classification; Genetics; Parasitology; Genetics
10.3390/microorganisms8020208,2020,16S rRNA; Lirima; NGS; archaea; microbial diversity; terrestrial hydrothermal systems; thermophiles,N/A,N/A,N/A
10.1038/s41598-022-23799-1,2022,N/A,Animals; Fishes; Macaca Fuscata; Seasons; Predatory Behavior,Macaca Fuscata; Predatory Behavior,N/A
10.1002/ece3.6507,2020,Japan; alpine streams; climate change; groundwater; invertebrates,N/A,N/A,N/A
10.1038/s41598-018-35299-2,2018,N/A,"Animals; Chile; Climate Change; Dna, Ancient; Dna, Fungal; Desert Climate; Feces; Fossils; Fungi; Metagenomics; Plant Diseases; Rna, Ribosomal, 18S; Rodentia",Climate Change; Fossils,Isolation & Purification; Isolation & Purification; Chemistry; Classification; Genetics; Methods; Microbiology; Genetics
10.1073/pnas.1714341115,2018,Mars; aridity; biomarker; habitat; microbial activity,Bacteria; Biodiversity; Desert Climate; Ecosystem; Soil; Soil Microbiology; South America,Ecosystem; Soil Microbiology,Classification; Genetics; Isolation & Purification; Chemistry
10.3389/fmicb.2017.01435,2017,Atacama Desert; environmental genomics; hyperarid; hypersaline; metagenome; salar; salt crust,N/A,N/A,N/A
10.1073/pnas.0608255104,2007,N/A,"Aerosols; Air Microbiology; Bacteria; Base Sequence; Cities; Molecular Sequence Data; Oligonucleotide Array Sequence Analysis; Phylogeny; Rna, Ribosomal, 16S; Regression Analysis",Air Microbiology,Classification; Isolation & Purification; Genetics
10.1038/s43705-022-00185-6,2022,N/A,N/A,N/A,N/A
